Type,Country,Commune,Postal index,Price
Apartments,Belgium,Anderlecht,1070,155000
Apartments,Belgique,Auderghem,1160,250000
Apartments,Belgique,Berchem-Sainte-Agathe,1082,163000
Apartments,Belgique,Bruxelles,1000,222500
Apartments,Belgique,Etterbeek,1040,235000
Apartments,Belgique,Evere,1140,208500
Apartments,Belgique,Forest,1190,201250
Apartments,Belgique,Ganshoren,1083,162500
Apartments,Belgique,Ixelles,1050,270000
Apartments,Belgique,Jette,1090,150000
Apartments,Belgique,Koekelberg,1081,160000
Apartments,Belgique,Molenbeek-Saint-Jean,1080,159500
Apartments,Belgique,Saint-Gilles,1060,205000
Apartments,Belgique,Saint-Josse-ten-Noode,1210,154000
Apartments,Belgique,Schaerbeek,1030,180500
Apartments,Belgique,Uccle,1180,281500
Apartments,Belgique,Watermael-Boitsfort,1170,255000
Apartments,Belgique,Woluwe-Saint-Lambert,1200,292500
Apartments,Belgique,Woluwe-Saint-Pierre,1150,300000
